lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
rm 1 0 0 728 0 0
pt 72 78 68 461.486 -3595.1 846.118
tg 5 0 0 738 0 0
ro 19 19 18 404.895 -9194.04 692.333
th 12 16 16 478.417 -6669.27 1024
am 0 3 2 0 -2485.32 384.5
tk 3 0 1 769.333 0 1016
an 0 2 0 0 -11252 0
ru 410 458 436 384.039 -41973.8 617.865
ar 35 50 40 421.114 -11502 768.125
rw 0 7 0 0 -18451 0
vi 64 73 72 412.641 -17101.9 1303.75
tr 26 28 28 478.885 -3094.04 953.786
gd 2 0 0 1090.5 0 0
az 6 6 6 323.833 -3091.97 1324.67
el 23 24 23 399.826 -38857.4 1024
cs 46 20 19 604.978 -3047.83 1354.16
en 7845 11919 6935 929.207 -712.852 829.875
cv 1 0 0 585 0 0
detectfast 16 0 0 0 0 0
eo 2 4 2 513.5 -701.137 383
id 67 72 69 363.537 -6591.19 948
cy 13 14 1 736.692 -242.301 1261
zh 588 711 519 528.595 -14996.9 1901.71
gl 32 2 7 449.031 -7386.54 452.857
es 172 448 167 420.029 -3751.66 511.605
et 0 1 0 0 -172.941 0
eu 3 0 0 1155.33 0 0
ka 1 1 1 423 -975.801 1024
gv 0 0 1 0 0 512
kk 0 3 0 0 -191.387 0
is 4 1 1 585.75 -284.653 685
it 52 67 54 434.692 -4716.9 649.352
mg 1 0 0 1190 0 0
ko 146 119 117 602.664 -26401.8 3716.27
iw 0 0 10 0 0 877.9
mk 3 1 0 618 -279.915 0
ku 2 0 3 689.5 0 464.667
mn 3 4 3 345.333 -24001.3 1040.67
ky 4 11 1 617.25 -12452.8 818
ms 0 13 4 0 -1218.66 829.5
mt 3 87 0 836 -15.984 0
or 1 0 0 955 0 0
sco 0 0 3 0 0 855.333
ba 1 0 0 943 0 0
se 0 1 0 0 -243.042 0
be 2 2 1 857 -332.906 771
si 1 0 0 1130 0 0
sk 20 8 6 534 -6834.69 1400.83
bg 23 31 37 438.043 -24857.5 708.757
da 2774 14 15 684.551 -1159.1 851.667
sl 4 17 8 224.5 -1791.52 648.25
qu 0 4 0 0 -1530.33 0
de 251 308 103 626.94 -3902.25 1051.83
sq 1 0 0 734 0 0
cld2 0 0 16 0 0 0
bn 6 8 8 350.5 -8240.22 583
sr 29 1 6 547.172 -2761.5 462.667
uk 10 17 12 392.5 -19872.4 815.25
fa 59 62 58 456.729 -18055.7 846.948
un 461 0 7045 0 0 0
sv 104 28 25 578.846 -2238.17 715.16
br 8 975 0 831.75 -5.50298 0
bs 0 4 4 0 -1044.42 477
ur 5 6 5 288 -15280.4 1002.6
fi 6 10 7 234.667 -4622.57 1127
he 10 15 0 359.2 -5308.94 0
fo 2 0 0 835.5 0 0
uz 3 0 2 717.667 0 935
ja 318 368 370 471.365 -27271.3 3195.56
hi 2 3 3 761.5 -3770.96 623.333
fr 630 425 160 653.525 -4906.57 762.369
la 221 43 22 647.692 -17129 1188
lb 47 4 0 617.064 -11305 0
fy 4 0 0 658.25 0 0
hr 15 16 10 303 -4181.61 482.9
zh-Hant 0 0 151 0 0 1929.63
hu 89 73 73 410.798 -11729.9 1228.63
nb 0 3 0 0 -130.576 0
hy 1 1 1 927 -219.506 1024
ne 1 0 0 653 0 0
jv 1 3 0 438 -99.0051 0
pa 9 0 0 1162 0 0
langid 0 16 0 0 0 0
crs 0 0 1 0 0 1024
nl 26 25 17 605.192 -3746.45 772.824
lt 12 13 8 434.5 -812.209 1062
nn 0 2 0 0 -32.5564 0
lv 13 16 13 343.769 -7148.09 1271.69
no 1448 10 6 682.747 -10360.2 560.167
pl 124 142 125 387.718 -6796.94 1258.43
ab 0 0 1 0 0 477
ta 1 1 1 516 -11121.2 1024
af 8 9 5 362.125 -6388.47 839.8
ca 539 26 20 681.597 -2263.06 564.2
