lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 2 1 525 -5468.11 1043
ro 1 2 1 208 -49154 902
tk 1 0 0 824 0 0
ru 25 25 25 411.36 -30764.6 576.04
ar 2 3 3 291.5 -5257.32 816.333
vi 2 2 2 328.5 -12491.6 1407
tr 1 1 1 166 -17057.2 1120
cs 4 1 1 579.5 -8749.18 1403
en 459 695 425 915.743 -654.219 833.974
id 5 5 5 351.6 -6473.84 964.8
zh 39 48 38 497.59 -17006.3 1869.39
es 9 26 10 287.889 -2735.98 494.5
gl 1 0 0 468 0 0
et 0 1 0 0 -172.941 0
it 1 1 1 349 -3227.24 659
ko 13 10 10 684.462 -9759.58 3784.1
mk 1 0 0 488 0 0
ku 1 0 0 710 0 0
ky 0 2 0 0 -32946 0
mt 0 2 0 0 -4.69839 0
or 1 0 0 955 0 0
sk 1 0 0 623 0 0
da 164 0 0 683.933 0 0
sl 0 2 1 0 -191.466 368
qu 0 1 0 0 -906.042 0
de 10 13 4 735.8 -2627.26 1132.75
uk 0 1 1 0 -1376.72 915
fa 2 3 3 795 -8794.44 836.667
un 29 0 399 0 0 0
sv 5 0 0 635 0 0
br 0 66 0 0 -13.1658 0
ur 1 1 1 320 -6151.33 954
fi 1 1 1 241 -5815.2 1090
ja 23 26 26 391.522 -37774.2 3204.42
fr 42 34 15 633.429 -7146.68 800.933
la 6 4 1 577.333 -2812 1269
lb 3 0 0 653.333 0 0
hr 1 1 1 357 -715.484 341
zh-Hant 0 0 8 0 0 1916.25
hu 3 3 3 549.667 -6118.89 925.333
pa 1 0 0 1162 0 0
nl 2 4 3 364 -1397.44 702.667
lt 2 2 2 355.5 -1285 992.5
lv 1 0 0 560 0 0
no 96 0 0 684.708 0 0
pl 5 9 6 273.2 -3703.99 1208.33
ca 31 1 0 687.097 -3720.56 0
