lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 5 4 572 -3082.54 680.75
am 0 1 1 0 -4118.85 436
ru 21 27 25 340.381 -40337.5 581.16
ar 2 2 2 374 -14963.7 834.5
rw 0 1 0 0 -40867.8 0
vi 4 4 4 462 -7632.58 1374.5
tr 5 4 4 323 -9030.9 1173.5
cs 2 0 0 957.5 0 0
el 2 2 2 277.5 -66432.6 1024
en 464 701 406 928.328 -828.813 835.419
id 4 6 4 299.5 -4537.12 903.75
zh 32 42 28 519.438 -15876.2 1899.36
es 11 35 13 237.545 -8175.16 505.538
gl 2 0 0 389.5 0 0
it 3 4 5 528.667 -5335.3 710.2
ko 8 3 3 704.5 -42824.7 3691.67
mk 1 0 0 751 0 0
mn 1 1 1 345 -22575.4 1050
ku 0 0 1 0 0 486
mt 0 5 0 0 -8.15101 0
sco 0 0 1 0 0 961
be 1 0 0 709 0 0
bg 0 1 2 0 -20351.4 792
da 169 1 1 687.065 -330.895 669
sl 1 2 1 308 -827.708 671
de 15 19 6 615.733 -3628.86 971.333
sr 5 0 1 618.8 0 345
fa 4 4 3 396.25 -19391.7 830.333
un 24 0 416 0 0 0
sv 6 2 1 745 -1148.86 646
br 1 56 0 782 -4.54799 0
bs 0 1 0 0 -224.714 0
fi 1 1 1 209 -13456.8 1245
uz 1 0 0 421 0 0
ja 20 25 24 395.4 -29398.8 3194.33
fr 32 17 8 659.156 -3042.36 729
la 14 3 1 665.071 -48656.9 1330
lb 1 0 0 509 0 0
fy 1 0 0 516 0 0
zh-Hant 0 0 9 0 0 1921.33
hu 9 8 8 384.889 -12529.6 1103.5
nb 0 1 0 0 -57.1418 0
pa 1 0 0 1162 0 0
lv 0 1 0 0 -8.07347 0
no 84 0 0 682.31 0 0
pl 11 11 10 416.364 -5969.06 1194.1
af 1 0 0 598 0 0
ca 30 1 1 681.967 -2022.49 360
