lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 2 1 403.667 -1303.54 768
tg 1 0 0 1033 0 0
th 1 3 3 527 -1893.01 1024
ro 3 1 1 435.667 -2468.33 865
ru 19 22 19 374.211 -56080 638
ar 4 5 4 358.5 -9700.48 840.5
vi 5 4 4 498 -8699.15 1241.5
tr 4 4 4 500 -1502.86 1159.25
az 1 1 1 282 -4527.16 1143
cs 3 1 1 400 -6931.06 1268
en 467 708 410 929.409 -947.63 824.144
eo 1 1 1 320 -2545.75 388
cv 1 0 0 585 0 0
cy 3 1 0 689 -2513.18 0
id 2 2 2 226.5 -5968.57 1110
zh 32 34 26 601.75 -9704.78 1940.12
es 7 22 9 247.857 -8701.63 451.889
gl 2 0 0 387 0 0
it 6 8 8 356.833 -5066.58 747.875
ko 4 5 4 479.25 -9943.62 3744.75
ku 0 0 1 0 0 407
ky 0 1 0 0 -263.397 0
ms 0 1 0 0 -24.2109 0
mt 0 9 0 0 -9.17401 0
bg 2 4 6 264 -27253.2 732.667
sk 5 1 1 469.8 -2840.11 1489
da 164 1 1 686.634 -288.653 1131
de 15 18 7 641.6 -7341.71 805.143
sr 1 0 0 634 0 0
uk 1 1 1 331 -12333.8 650
fa 6 6 5 396.333 -29464.8 728.8
un 19 0 417 0 0 0
sv 5 5 4 425.4 -2065.75 772
br 0 53 0 0 -5.65012 0
fi 1 2 2 228 -2722.44 916
ja 22 25 24 516.182 -27059 3257.71
fo 1 0 0 667 0 0
hi 1 0 0 1168 0 0
fr 36 23 8 646.389 -2687.74 777.625
la 11 4 0 676.455 -40907.6 0
lb 2 0 0 455.5 0 0
hu 2 1 1 530.5 -4027.48 1286
zh-Hant 0 0 8 0 0 1902.62
nl 2 2 1 616.5 -246.129 797
lt 1 1 1 346 -1500.58 1029
lv 0 1 0 0 -8.07347 0
no 87 0 0 686.138 0 0
pl 9 10 9 475 -3167.44 1223.11
ta 1 1 1 516 -11121.2 1024
ca 34 3 1 689.029 -638.861 493
