lang lang_warc lang_curl
hu 2 6
no 28 0
sk 1 2
ca 7 0
vi 0 2
da 49 0
gl 1 1
ar 1 3
uk 1 1
en 145 160
fa 4 5
ro 1 0
fo 1 3
zh 5 3
cs 3 5
de 6 12
un 13 21
pt 1 4
ja 2 0
sr 0 3
es 5 10
fr 17 27
tr 2 6
et 1 6
nl 2 3
ko 0 3
id 3 0
hr 1 3
la 3 0
ru 10 29
pl 1 0
th 2 3
sv 3 0
