lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 5 4 4 687.4 -547.071 697.25
th 2 2 2 533 -4322.2 1024
ro 2 2 2 244.5 -5687.05 790.5
an 0 1 0 0 -22213.5 0
ru 17 23 20 312.882 -34788 581.15
ar 1 3 2 238 -6339.58 887.5
vi 3 3 3 319.667 -8921 1312.67
tr 1 1 1 441 -1635.09 672
cs 3 3 3 567.667 -1696.28 1633.33
el 3 3 3 799.667 -1003.13 1024
en 460 701 399 933.072 -828.044 837.722
cy 1 2 0 746 -17.9368 0
id 4 4 5 247.25 -7337.9 1078.4
zh 35 44 36 574.714 -12148.3 1894.89
es 10 29 9 459.3 -4419.13 497.333
gl 4 0 2 555.25 0 416
eu 1 0 0 1168 0 0
kk 0 2 0 0 -216.429 0
is 1 0 0 466 0 0
it 4 4 4 334.75 -3803.57 588.75
ko 7 5 5 529.143 -30854.3 3698.4
iw 0 0 1 0 0 937
ms 0 2 0 0 -1402.89 0
mt 0 6 0 0 -8.53464 0
sk 1 0 0 707 0 0
bg 3 2 4 638.333 -13563.9 933.75
da 161 0 1 683.509 0 768
sl 1 2 1 251 -1827.69 892
de 15 8 4 720.933 -228.064 1431.75
sr 3 0 0 472.667 0 0
fa 4 4 4 365.75 -12397 818.75
un 34 0 420 0 0 0
sv 4 2 1 520.75 -402.657 658
br 1 57 0 668 -5.13001 0
bs 0 1 0 0 -230.994 0
fi 1 1 1 230 -9407.42 1229
he 1 2 0 356 -1694.48 0
ja 14 17 17 472.429 -26391.7 3104.76
fr 36 33 13 592.944 -9364.31 722.538
la 14 1 1 652.429 -13967.3 1282
hr 1 1 1 570 -333.633 389
fy 1 0 0 923 0 0
zh-Hant 0 0 8 0 0 1935.12
hu 7 8 8 280.429 -13268 1266
nl 3 2 1 552.333 -1920.58 877
lt 1 0 0 636 0 0
no 87 0 0 685.747 0 0
pl 12 11 11 356 -8980.41 1319.18
af 0 1 0 0 -827.16 0
ca 29 1 1 692.793 -132.751 526
