lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 7 3 3 596.714 -5593.35 910.333
ru 23 26 24 405 -27075.9 638.667
ar 3 5 3 626.667 -2717.12 824.333
vi 3 4 3 506 -12995.6 1426
cs 3 1 1 611 -1791.92 1472
el 3 3 3 358.333 -95984 1024
en 462 696 409 931.102 -565.904 826.225
cy 1 1 0 695 -17.9368 0
id 6 5 5 557 -6666.22 1011.6
zh 39 46 33 519.41 -18535.3 1829.09
es 12 43 15 437.25 -1911.73 503.333
gl 5 0 1 398.6 0 681
eu 1 0 0 1168 0 0
is 1 0 0 500 0 0
it 3 5 4 305 -2763.57 541.75
ko 11 9 9 746.545 -38153.1 3683.78
iw 0 0 1 0 0 842
ms 0 1 0 0 -75.487 0
mt 1 3 0 881 -10.4528 0
bg 0 1 1 0 -646.937 506
sk 1 0 0 546 0 0
da 155 2 2 681.174 -1621.67 855.5
de 16 19 7 583.062 -1642.06 1153.43
bn 1 2 2 364 -4810.65 663
sr 2 0 1 545.5 0 257
fa 3 3 3 239.333 -25196.9 831.333
un 17 0 416 0 0 0
sv 3 2 2 414.333 -4601.9 908.5
br 0 63 0 0 -4.96642 0
bs 0 1 0 0 -714.355 0
he 1 1 0 669 -1192.69 0
ja 21 23 23 513.952 -15156.2 3181
hi 0 1 1 0 -932.591 618
fr 41 13 4 719.829 -1876.05 728.25
la 12 3 0 637.917 -10382.8 0
lb 2 0 0 506.5 0 0
zh-Hant 0 0 10 0 0 1951
hu 4 3 3 444.25 -10476.6 1045.67
ne 1 0 0 653 0 0
pa 2 0 0 1162 0 0
lt 1 0 0 605 0 0
no 84 0 0 680.238 0 0
pl 4 6 5 393.75 -1302.84 1340.8
ca 41 2 2 664.268 -2463.19 672.5
