lang lang_warc lang_curl
rm 7316 21948
pt 86618 264175
th 4406 13218
ro 53117 164581
ce 5603 16809
tk 6664 67368
ru 891673 2208404
ar 30605 63522
vi 34938 111154
tr 34676 116008
ga 6950 20850
el 31459 92664
az 9230 27690
cs 69500 202715
en 11881887 9887346
eo 14692 19221
cy 18039 52638
id 38037 127403
zh 605648 2310613
es 230519 665903
gl 22571 137911
et 4076 27465
it 160995 494598
kn 5861 0
ko 189182 588531
mk 1901 5703
ml 13345 24909
mn 8993 26979
ku 12307 8448
ky 5777 11555
mt 8599 22278
sc 7307 0
be 8609 25827
bg 28456 69276
sk 43274 206165
sl 10045 24491
da 3644619 135068
de 515586 781495
sr 20951 54861
uk 61210 144784
bn 8681 26043
fa 28703 66678
un 817377 2664138
br 18827 29451
sv 170540 208754
fi 3026 8688
he 2777 5553
ja 360072 662881
fo 8023 30936
hi 2495 7485
fr 1199183 1204145
la 385699 265716
lb 34390 117027
hr 20814 71977
hu 116615 380172
pa 33289 76240
nl 56945 62637
lt 31182 77349
lv 25067 42953
no 3009096 151044
pl 279490 826285
ta 3524 965
af 6452 19356
ca 880520 86981
