lang lang_warc lang_curl
no 5066 0
pa 246 738
ca 1015 0
vi 90 0
da 12391 0
uk 318 954
gl 396 1188
en 28353 23668
af 477 1431
fa 591 407
zh 3291 9239
cs 30 1089
un 2348 7017
de 762 2395
es 624 1440
fr 1550 1278
ja 792 1971
ru 1092 3218
ko 1866 3849
la 197 491
pl 561 1683
