lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 2 3 3 519.5 -4879.25 893.333
tg 1 0 0 781 0 0
th 1 1 1 320 -15816.8 1024
ro 1 1 1 324 -1397.33 513
ru 30 31 30 365 -42336.2 599.567
ar 0 0 1 0 0 523
vi 5 6 6 524.4 -4280.64 1308.17
el 1 1 1 222 -73697.1 1024
az 1 1 1 453 -1014.9 1392
cs 1 1 1 640 -625.257 1114
en 465 726 412 926.428 -378.963 839.799
eo 0 2 1 0 -65.3558 378
id 6 8 7 239.667 -12833.7 933.714
zh 23 29 18 498.261 -16316 1927.72
gl 0 0 1 0 0 282
es 11 20 8 568.455 -1074.01 617
it 5 7 6 345.2 -1638.67 639.5
ko 9 7 7 689.444 -39873.5 3713.14
ky 0 1 0 0 -7907.12 0
mt 0 9 0 0 -6.61652 0
bg 1 0 0 457 0 0
da 146 0 0 687 0 0
sl 0 1 1 0 -55.6627 846
qu 0 1 0 0 -975.063 0
de 30 22 8 697.033 -9130.12 906.5
sq 1 0 0 734 0 0
bn 2 2 2 416.5 -9747.58 499.5
uk 2 3 3 502 -5188.8 814
fa 2 2 2 383 -7365.54 814
un 26 0 411 0 0 0
sv 1 1 1 332 -3117.37 924
br 0 42 0 0 -4.39922 0
ur 1 2 1 262 -10757.2 1054
uz 1 0 0 650 0 0
ja 19 23 24 514 -18841.9 3207.5
fr 40 21 7 687.3 -3675.53 790.429
la 18 4 4 605.444 -2215.61 1210.25
lb 5 1 0 640.6 -65.5909 0
zh-Hant 0 0 10 0 0 1915.5
hu 6 5 5 335.333 -12061.2 1408
nl 4 2 3 628 -5820.52 915
lv 1 0 0 660 0 0
no 91 1 0 682.011 -364.296 0
pl 8 8 8 371.125 -12855.3 1298.88
ca 28 0 0 705.321 0 0
