lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 7 3 302.667 -3810.19 965.667
tg 1 0 0 1188 0 0
ro 2 1 1 329 -16183.9 742
ru 25 29 28 481.32 -52194.9 679.857
ar 0 1 0 0 -43.1034 0
vi 3 5 5 613.333 -3951.14 1074.2
tr 1 1 1 317 -1699.05 1171
cs 7 2 2 477 -2888.52 1076
el 0 1 0 0 -75.2903 0
en 442 687 387 946.186 -920.754 817.496
cy 0 1 0 0 -17.9368 0
id 2 3 1 376.5 -2154.97 1081
zh 33 39 27 477.697 -20358.1 1884.22
es 11 29 13 287.636 -6089.22 525
it 4 4 5 285.75 -3328.22 655.8
ko 9 5 5 728.111 -24003.2 3751.6
iw 0 0 2 0 0 911.5
mn 1 1 1 327 -28121.9 1034
ku 0 0 1 0 0 501
ms 0 0 1 0 0 748
mt 0 6 0 0 -8.53464 0
sco 0 0 1 0 0 1163
be 1 1 1 1005 -548.834 771
bg 1 3 2 220 -35734.4 586
sk 1 0 0 687 0 0
sl 0 1 0 0 -92.7781 0
da 168 0 0 685.583 0 0
de 14 24 7 594.643 -4427.53 1100.57
sr 6 0 0 560.333 0 0
uk 0 2 1 0 -949.31 915
fa 8 8 7 309.125 -12689.7 803.286
un 36 0 430 0 0 0
sv 11 4 4 565.545 -2440.36 545.25
br 0 50 0 0 -4.73246 0
bs 0 0 1 0 0 595
fi 1 1 1 299 -4162.61 1276
he 2 2 0 434.5 -10046.8 0
ja 21 22 22 479.381 -18577.3 3347
fr 44 37 13 629.136 -5338.74 736.846
la 13 2 1 653.077 -5505.8 1432
lb 3 0 0 488.667 0 0
hr 1 2 0 357 -423.313 0
zh-Hant 0 0 8 0 0 1935.25
hu 5 4 4 475.8 -12702.2 1117.25
hy 1 1 1 927 -219.506 1024
jv 1 1 0 438 -102.173 0
crs 0 0 1 0 0 1024
nl 0 1 1 0 -1130.95 414
lt 2 2 2 431 -788.889 963
lv 1 2 1 299 -2561.45 1454
no 74 1 1 683.568 -744.814 623
pl 3 3 3 498.333 -835.089 1342
af 1 1 1 247 -6219.34 784
ca 34 0 0 697.206 0 0
