lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 26 30 29 413.923 -3900.08 907.793
tg 2 0 0 344 0 0
ro 5 6 7 400.8 -4084.06 660.286
th 2 2 3 726.5 -1221.33 1024
am 0 2 1 0 -1668.56 333
an 0 1 0 0 -290.55 0
ru 127 143 137 358.016 -44003.6 623.985
ar 13 16 14 384.231 -19304.7 720.286
rw 0 2 0 0 -20743.4 0
vi 20 22 22 352.35 -31929.5 1333.23
tr 8 11 11 472 -1834.84 866.727
gd 2 0 0 1090.5 0 0
az 3 3 3 325.333 -2470.55 1290
el 6 6 6 304.333 -38106.4 1024
cs 11 6 6 755.273 -1208.04 1241
en 2301 3504 2047 928.842 -763.834 829.82
eo 1 0 0 707 0 0
id 13 17 18 363.769 -5555.52 869.611
cy 4 3 0 851 -223.599 0
zh 173 210 160 530.815 -14565.5 1879.89
gl 7 1 1 493 -267.388 378
es 56 130 49 458.25 -2701.88 514.796
ka 1 1 1 423 -975.801 1024
is 2 0 0 688.5 0 0
it 17 13 10 572.176 -3270.39 511.6
mg 1 0 0 1190 0 0
ko 51 42 42 535.706 -30028.6 3689.93
iw 0 0 2 0 0 889.5
mk 1 0 0 615 0 0
ku 1 0 0 669 0 0
mn 0 1 0 0 -26469 0
ky 4 1 1 617.25 -8885.43 818
ms 0 3 0 0 -3024.8 0
mt 0 20 0 0 -7.57558 0
se 0 1 0 0 -243.042 0
si 1 0 0 1130 0 0
sk 3 3 1 470.667 -1386.13 1505
bg 3 5 6 233.667 -42737.9 648.833
da 807 5 4 684.618 -1060.39 844.25
sl 1 3 2 159 -4418.95 511.5
qu 0 1 0 0 -3755.29 0
de 64 77 23 611.172 -2320.63 1028.74
bn 2 2 2 308 -12381.8 587.5
sr 4 0 1 564.75 0 444
uk 3 4 2 330.667 -32115.7 656.5
fa 13 14 14 546 -11920.1 911.286
un 132 0 2049 0 0 0
sv 31 7 7 567.258 -1536.62 782.143
br 3 287 0 595.667 -5.09615 0
bs 0 1 3 0 -3007.62 437.667
ur 2 2 2 288.5 -26831.2 1070
he 2 5 0 269 -4813.78 0
uz 1 0 2 1082 0 935
ja 98 113 112 467.847 -32469.8 3199.84
hi 1 1 1 355 -5098.56 652
fr 196 138 54 649.827 -5498.52 787.463
la 57 13 7 673.298 -24546.1 1169.43
lb 16 1 0 672.062 -6003.71 0
hr 8 8 5 284 -4209.84 556.2
zh-Hant 0 0 41 0 0 1937.22
hu 26 22 22 377.346 -7154.63 1364.05
jv 0 2 0 0 -97.4211 0
pa 4 0 0 1162 0 0
nl 8 5 3 637 -3422.32 823.333
lt 4 7 3 387.5 -700.14 1185.33
nn 0 1 0 0 -32.5564 0
lv 5 7 7 368.2 -2399.99 1257.14
no 437 4 1 682.673 -266.422 696
pl 36 44 35 385.722 -4819.54 1259.29
ab 0 0 1 0 0 477
af 2 1 1 310.5 -8614.28 1054
ca 161 9 8 674.988 -1707.29 588.25
