lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 4 3 372.333 -2574.1 941
ro 1 1 1 235 -8305.74 869
ru 19 22 22 339.474 -35096.9 658.773
ar 3 3 3 636.667 -19898.2 555
rw 0 1 0 0 -18.895 0
tr 1 1 2 282 -3481.08 753.5
gd 1 0 0 1180 0 0
cs 4 2 2 669.75 -786.378 1037
el 1 1 1 400 -5045.99 1024
en 467 667 412 929.291 -1168.52 825.015
cy 0 2 0 0 -326.431 0
id 5 5 5 420.2 -7887.87 983.4
zh 44 49 36 538.977 -20153.2 1847.19
gl 2 0 0 484 0 0
es 17 40 14 381.941 -2830.19 505.643
it 1 2 1 260 -7080.52 256
ko 7 7 7 542.714 -29987.9 3679.14
iw 0 0 1 0 0 984
ky 1 1 1 438 -8885.43 818
mt 0 3 0 0 -6.61652 0
si 1 0 0 1130 0 0
sk 0 2 0 0 -101.351 0
bg 1 1 2 243 -60563.3 681
sl 0 1 0 0 -18.4849 0
da 174 1 0 683.316 -74.8148 0
de 9 18 5 513.111 -3202.24 946
sr 1 0 0 425 0 0
uk 1 1 0 427 -351.621 0
fa 4 5 5 568.25 -12044.3 955.2
un 30 0 413 0 0 0
sv 6 1 1 610.5 -635.048 866
br 0 71 0 0 -4.65088 0
ur 1 1 1 360 -10303.2 1020
he 1 2 0 299 -4478.3 0
ja 14 21 21 476.357 -21860.5 3190.67
fr 38 39 14 618.789 -11449.8 755.429
la 8 2 0 760.375 -142066 0
lb 5 0 0 649.4 0 0
zh-Hant 0 0 11 0 0 1938.45
hu 4 4 4 546.5 -1420.84 1638
jv 0 2 0 0 -97.4211 0
nl 2 1 0 700 -894.809 0
lt 0 1 0 0 -9.38272 0
lv 2 4 4 355.5 -2778.64 1316
no 84 0 0 685.357 0 0
pl 4 7 4 308.5 -2635.94 1431.25
ca 29 0 0 688.483 0 0
