lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 8 8 8 482.375 -4228.23 968.125
ro 0 3 4 0 -23.3775 613
ru 29 32 30 400.207 -53282.7 649.1
ar 2 2 2 202 -50065.9 802
rw 0 1 0 0 -41468 0
vi 4 4 4 425.25 -52156.1 1147.25
tr 2 2 2 528.5 -737.827 767
az 1 1 1 416 -1104.04 1363
cs 2 0 0 1018.5 0 0
en 451 704 404 926.062 -534.746 827.814
cy 2 0 0 815.5 0 0
id 3 5 6 315.667 -7452.06 889.333
zh 41 50 37 529.171 -16513.1 1869.43
gl 1 0 1 349 0 378
es 15 25 11 486 -4466.01 553.455
is 2 0 0 688.5 0 0
it 4 1 0 835.75 -1.30838 0
ko 6 6 6 365.667 -39599.5 3690.67
mn 0 1 0 0 -26469 0
ku 1 0 0 669 0 0
ky 2 0 0 592.5 0 0
ms 0 1 0 0 -9025.98 0
mt 0 1 0 0 -10.4528 0
bg 1 1 1 277 -20024.6 673
sk 1 0 0 615 0 0
da 152 0 0 685.013 0 0
de 10 7 1 700.9 -1272.83 1203
un 29 0 412 0 0 0
sv 9 2 2 542 -22.2183 693.5
br 1 67 0 699 -5.93452 0
he 0 2 0 0 -434.847 0
uz 1 0 0 1082 0 0
ja 24 25 25 474.958 -30146.9 3108.32
fr 36 18 6 652.472 -3174.95 858.5
la 13 1 0 715 -653.771 0
lb 3 1 0 655.333 -6003.71 0
hr 1 2 2 351 -1113.2 570
zh-Hant 0 0 12 0 0 1935.25
hu 4 4 4 353.25 -6246.57 1279.25
nl 3 3 1 532 -4755.26 917
lt 2 2 1 497.5 -534.408 1287
nn 0 1 0 0 -32.5564 0
lv 2 2 2 410.5 -1823.86 1106
no 90 1 1 679.044 -972.043 696
pl 9 10 10 449 -2609.34 1219.7
ca 30 1 1 685.233 -671.799 740
