lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 2 2 2 393.5 -2088.12 606
th 2 2 2 281.5 -18722.6 1024
ro 3 4 3 300.333 -5000.73 731
ru 26 28 26 340.154 -50558.5 600.346
ar 2 4 2 496.5 -4149.52 728.5
rw 0 2 0 0 -22585.8 0
vi 2 2 2 609.5 -18555.2 1351.5
tr 1 0 0 959 0 0
az 1 1 1 232 -5598.07 1543
cs 1 0 0 1038 0 0
el 1 1 1 294 -15561.7 1024
en 477 709 401 934.516 -237.301 822.89
cy 1 0 1 545 0 1261
id 6 5 5 322.5 -15549 984.6
zh 33 41 31 514.879 -13837.3 1978.48
es 14 27 11 437.857 -3736.36 480.818
is 0 1 1 0 -284.653 685
it 2 6 3 172.5 -15098.6 620.333
ko 10 7 7 602.7 -25141.6 3707
ky 0 4 0 0 -10978.2 0
ms 0 0 1 0 0 996
mt 0 8 0 0 -90.2137 0
bg 3 5 5 451.333 -5884.37 726.2
sk 2 2 2 347 -22344.6 1473
da 158 0 0 683.892 0 0
de 14 22 8 501.214 -2003.35 1057.5
sr 2 0 0 631 0 0
uk 2 2 2 267 -45558.1 838.5
fa 2 2 2 677.5 -32183 935
un 29 0 427 0 0 0
sv 7 1 1 619.571 -5356.09 695
br 1 59 0 1139 -4.54042 0
ur 1 1 1 281 -10354.5 865
ja 16 19 20 496.062 -18818.9 3140.05
fr 36 18 6 694.25 -1516.97 670.5
la 16 2 2 632.188 -4969.42 1286.5
lb 2 0 0 673 0 0
hr 1 1 1 251 -3021.13 303
zh-Hant 0 0 9 0 0 1934.89
hu 3 2 2 492.333 -26303 1045
nl 1 0 0 677 0 0
lv 2 2 2 213 -35266.8 1290.5
no 79 0 0 680.81 0 0
pl 8 7 9 432.5 -4829.16 1237.78
ca 30 0 0 689.2 0 0
