lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 7 8 8 390.857 -4412.83 859.5
th 0 2 2 0 -903.78 1024
ro 0 1 1 0 -154.684 516
ru 21 22 23 339.524 -57740.6 680.348
ar 1 1 1 501 -2216.61 784
rw 0 1 0 0 -836.223 0
vi 6 6 6 342.667 -20628.7 1439.33
tr 1 0 0 938 0 0
cs 2 1 1 693.5 -1873.74 1920
el 1 1 1 321 -19777.2 1024
en 454 676 407 934.956 -882.096 824.872
cy 1 1 0 687 -33.8294 0
id 5 4 4 406.6 -6751.76 1031.5
zh 41 56 34 550.195 -12287.1 1947.38
gl 4 0 0 477.25 0 0
es 12 30 11 425.083 -2000.24 450.727
gv 0 0 1 0 0 512
kk 0 1 0 0 -141.304 0
it 4 3 3 459.25 -18457 672.667
ko 4 2 2 648.75 -29213 3710.5
ky 0 1 0 0 -283.621 0
mt 1 6 0 472 -13.0794 0
bg 2 2 2 422 -29619.8 794
sl 0 1 0 0 -92.7781 0
da 181 1 1 686.619 -1917.01 1010
de 10 24 7 567.2 -788.824 1299
sr 1 1 1 571 -2761.5 870
bn 1 1 1 290 -11814.6 541
uk 1 1 0 543 -337.066 0
fa 3 3 3 594 -31527.9 965
un 33 0 414 0 0 0
sv 8 2 2 576.875 -2826.92 601.5
br 0 74 0 0 -4.5118 0
fi 0 1 0 0 1.08851 0
ja 18 18 21 467.5 -21464.3 3129.48
fr 24 23 7 633 -3873.83 666.143
la 14 1 1 628.571 -4980.46 1378
lb 2 0 0 518.5 0 0
fy 1 0 0 574 0 0
hr 1 1 1 357 -2031.69 475
zh-Hant 0 0 15 0 0 1923.73
hu 5 2 2 554.4 -5631.38 1244
nb 0 1 0 0 -24.7758 0
pa 1 0 0 1162 0 0
nl 2 2 2 741.5 -377.633 715
nn 0 1 0 0 -32.5564 0
lv 1 1 1 253 -2614.82 1352
no 84 0 0 684.369 0 0
pl 10 11 10 411.9 -9422.43 1215.8
af 2 2 1 487.5 -3808.74 796
ca 28 1 1 675.643 -14906.4 642
