lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 3 4 4 398.333 -1614.54 706.75
ro 2 1 1 492.5 -2728.88 601
an 0 1 0 0 -290.55 0
ru 35 37 37 351.743 -32814.6 611.27
ar 4 5 5 320.25 -17319.6 710
vi 3 3 3 296.333 -17086.6 1524.67
tr 3 3 3 358.667 -3348.01 1015.67
gd 1 0 0 1001 0 0
az 1 1 1 222 -4745.83 1416
cs 2 3 3 641 -1495.42 1396
el 2 2 2 213.5 -87264.5 1024
en 453 718 405 932.645 -349.047 833.252
cy 2 0 0 886.5 0 0
id 3 4 4 345.333 -3069.96 851.25
zh 37 43 33 545.081 -10631.2 1832.97
es 7 15 6 517.286 -1419.47 436.667
it 3 3 3 400 -4592.4 471.333
ko 12 10 10 474.833 -18362.6 3676.1
ky 1 0 0 846 0 0
ms 0 1 0 0 -24.2109 0
mt 0 4 0 0 -7.57558 0
sk 1 1 1 292 -3955.69 1505
da 157 2 3 683.478 -2005.69 855
de 9 14 4 727.444 -2050.9 1185.5
fa 2 2 2 777.5 -3507.68 896.5
un 26 0 408 0 0 0
sv 6 1 1 609.5 -486.426 688
br 1 51 0 446 -5.30046 0
ja 18 20 20 462 -64410.4 3295.1
fr 59 27 12 681.339 -3434.42 709
la 12 3 3 623.083 -7996.62 1295.67
lb 3 0 0 739.667 0 0
hr 1 1 1 186 -6616.2 537
zh-Hant 0 0 8 0 0 1930.12
hu 6 4 4 356.5 -11723 1361.5
nl 0 0 1 0 0 776
no 86 2 0 683.047 -24.3606 0
pl 8 8 7 419.5 -3100.08 1240
ca 29 4 3 664.621 -498.116 464.333
