lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
it 1 0 0 1193 0 0
no 2 0 0 694 0 0
hu 1 0 0 744 0 0
ca 1 0 0 719 0 0
sk 1 0 0 510 0 0
da 27 0 0 692.074 0 0
en 43 55 36 990.256 -5.21275 750.25
mt 0 1 0 0 1.05598 0
br 0 19 0 0 -5.27617 0
zh 13 14 6 433.385 -29300.1 1686.17
de 1 2 1 795 -151.604 874
un 0 0 42 0 0 0
pt 1 1 1 565 -523.462 1128
ja 1 1 1 334 -24110.8 3322
fr 3 2 1 612.333 -517.314 912
zh-Hant 0 0 8 0 0 1947.12
la 1 0 0 665 0 0
id 1 1 1 462 -6455.54 994
ru 3 4 3 488 -12448.4 825.333
