lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 28 33 32 421.464 -3989.1 906.438
tg 3 0 0 489.667 0 0
ro 6 7 8 388 -3700.24 641.875
th 3 3 4 591 -6086.5 1024
am 0 2 1 0 -1668.56 333
an 0 1 0 0 -290.55 0
ru 157 174 167 359.35 -43706.5 619.599
ar 13 16 15 384.231 -19304.7 707.133
rw 0 2 0 0 -20743.4 0
vi 25 28 28 386.76 -26004.7 1327.86
tr 8 11 11 472 -1834.84 866.727
gd 2 0 0 1090.5 0 0
az 4 4 4 357.25 -2106.64 1315.5
el 7 7 7 292.571 -43190.8 1024
cs 12 7 7 745.667 -1124.78 1222.86
en 2766 4230 2459 928.436 -697.778 831.492
eo 1 2 1 707 -65.3558 378
id 19 25 25 324.579 -7884.55 887.56
cy 4 3 0 851 -223.599 0
zh 196 239 178 526.995 -14777.9 1884.72
gl 7 1 2 493 -267.388 330
es 67 150 57 476.343 -2484.83 529.14
ka 1 1 1 423 -975.801 1024
is 2 0 0 688.5 0 0
it 22 20 16 520.591 -2699.29 559.562
mg 1 0 0 1190 0 0
ko 60 49 49 558.767 -31435 3693.24
iw 0 0 2 0 0 889.5
mk 1 0 0 615 0 0
ku 1 0 0 669 0 0
mn 0 1 0 0 -26469 0
ky 4 2 1 617.25 -8396.28 818
ms 0 3 0 0 -3024.8 0
mt 0 29 0 0 -7.27794 0
se 0 1 0 0 -243.042 0
si 1 0 0 1130 0 0
sk 3 3 1 470.667 -1386.13 1505
bg 4 5 6 289.5 -42737.9 648.833
da 953 5 4 684.983 -1060.39 844.25
sl 1 4 3 159 -3328.13 623
qu 0 2 0 0 -2365.18 0
de 94 99 31 638.574 -3833.85 997.194
sq 1 0 0 734 0 0
bn 4 4 4 362.25 -11064.7 543.5
sr 4 0 1 564.75 0 444
uk 5 7 5 399.2 -20575.6 751
fa 15 16 16 524.267 -11350.8 899.125
un 158 0 2460 0 0 0
sv 32 8 8 559.906 -1734.21 799.875
br 3 329 0 595.667 -5.00718 0
bs 0 1 3 0 -3007.62 437.667
ur 3 4 3 279.667 -18794.2 1064.67
he 2 5 0 269 -4813.78 0
uz 2 0 2 866 0 935
ja 117 136 136 475.342 -30165.1 3201.19
hi 1 1 1 355 -5098.56 652
fr 236 159 61 656.178 -5257.75 787.803
la 75 17 11 657.013 -19291.9 1184.27
lb 21 2 0 664.571 -3034.65 0
hr 8 8 5 284 -4209.84 556.2
zh-Hant 0 0 51 0 0 1932.96
hu 32 27 27 369.469 -8063.25 1372.19
jv 0 2 0 0 -97.4211 0
pa 4 0 0 1162 0 0
nl 12 7 6 634 -4107.52 869.167
lt 4 7 3 387.5 -700.14 1185.33
nn 0 1 0 0 -32.5564 0
lv 6 7 7 416.833 -2399.99 1257.14
no 528 5 1 682.559 -285.997 696
pl 44 52 43 383.068 -6055.82 1266.65
ab 0 0 1 0 0 477
af 2 1 1 310.5 -8614.28 1054
ca 189 9 8 679.481 -1707.29 588.25
