lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 4 5 3 469.75 -3023.52 717.333
ro 1 1 1 853 -293.246 528
th 2 2 1 416.5 -7468.89 1024
tk 1 0 0 808 0 0
ru 23 25 26 433.304 -25871.3 604.885
ar 1 3 1 563 -715.213 819
vi 2 4 4 287.5 -13557 1136.5
tr 2 2 2 739 -358.448 883
cs 5 3 3 368.4 -7623.77 1351.33
el 3 3 3 286 -39643.1 1024
en 467 706 408 930.707 -607.601 826.681
eo 0 1 0 0 -128.083 0
cy 1 3 0 627 -22.2599 0
id 2 1 0 417.5 -520.308 0
zh 33 40 28 515.909 -14221.3 1899.82
es 10 30 11 368.4 -2868.1 507.091
gl 3 0 0 454 0 0
eu 1 0 0 1130 0 0
it 1 3 1 645 -1780.44 880
ko 8 10 10 600.25 -21974.6 3757.1
iw 0 0 2 0 0 892.5
mk 0 1 0 0 -279.915 0
ms 0 1 2 0 -2946.75 787
mt 0 2 0 0 -10.4528 0
ba 1 0 0 943 0 0
bg 4 3 3 523 -32371.3 665.333
sk 2 0 0 585 0 0
sl 0 1 0 0 -92.7781 0
da 168 2 3 682.179 -1371.35 711
de 12 23 8 580.583 -11417.9 934.125
sr 1 0 0 339 0 0
uk 1 2 1 521 -42681.5 956
bn 0 1 1 0 -227.109 623
fa 5 5 5 402.4 -48124.6 888.2
un 27 0 421 0 0 0
sv 8 0 0 633.875 0 0
br 0 50 0 0 -5.04155 0
fi 0 1 0 0 -24.5807 0
he 2 3 0 340 -3825.2 0
fo 1 0 0 1004 0 0
ja 9 14 15 506.333 -19892.2 3184.4
fr 32 21 8 650.875 -5136.75 810.125
la 19 2 1 655.947 -4589.7 490
lb 6 2 0 619.833 -19575.3 0
zh-Hant 0 0 8 0 0 1934.62
hu 6 5 5 493.833 -5934.65 1152.8
nl 1 2 1 296 -25487.3 898
lt 1 0 0 504 0 0
lv 1 1 1 194 -13765.6 1041
no 79 3 2 681.886 -886.628 447
pl 8 10 10 272.125 -6155.6 1199.6
af 1 2 1 233 -7943.91 735
ca 35 1 0 690.943 -19.3132 0
