lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 2 3 3 374 -1282.83 807.333
rm 1 0 0 728 0 0
th 1 1 1 271 -16819.2 1024
ro 1 0 0 949 0 0
ru 26 28 26 462.962 -28732.8 607.615
ar 3 3 3 554.667 -13705.5 686.333
rw 0 1 0 0 -794.456 0
vi 4 6 6 304.75 -7111.72 1292.5
tr 0 1 1 0 -46.384 568
el 1 1 1 265 -35684.1 1024
cs 1 0 0 534 0 0
en 462 709 413 922.807 -680.71 832.743
cy 0 2 0 0 -17.9368 0
id 6 7 7 370.833 -3246.72 951.714
zh 33 38 27 486.515 -16317.3 1952.41
gl 2 0 1 399.5 0 378
es 4 13 3 506 -9063.99 517.333
it 1 5 1 493 -209.471 797
ko 7 7 6 553.571 -12755.5 3715.5
iw 0 0 2 0 0 806.5
ms 0 2 0 0 -161.083 0
mt 1 7 0 1155 -8.80866 0
sco 0 0 1 0 0 442
be 0 1 0 0 -116.977 0
sk 3 1 1 643 -2272.21 1494
bg 2 2 2 434.5 -31453.5 656
sl 0 1 0 0 -92.7781 0
da 162 2 2 681.531 -1201.44 988
de 20 21 7 672.85 -1915.52 1002.43
sr 2 0 2 506 0 430
fa 4 4 4 520.75 -6042.59 765.5
un 27 0 417 0 0 0
sv 5 1 1 547.4 -1222.64 577
br 2 58 0 1139 -5.22828 0
fi 1 1 1 201 -7916.37 1217
he 2 2 0 240 -9707.16 0
ja 17 19 19 460.882 -36251.3 3180
fr 35 21 8 641.914 -4805.94 735.25
la 21 3 2 607.905 -2351.63 922.5
lb 2 0 0 513 0 0
fy 1 0 0 620 0 0
hr 2 2 1 190.5 -13139.2 540
zh-Hant 0 0 9 0 0 1920.11
hu 6 4 4 437.667 -29847.9 1186
nb 0 1 0 0 -309.809 0
nl 3 3 1 684.333 -642.401 901
lt 0 1 0 0 -9.38272 0
no 87 1 2 676.736 -98767.7 574
pl 7 8 7 320.143 -26119.1 1274
ca 28 4 3 667.786 -2947.03 583
